Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1998","1998","1000 ha","1350","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1998","1998","1000 ha","46600","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1999","1999","1000 ha","16337","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1999","1999","1000 ha","1350","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1999","1999","1000 ha","46000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2000","2000","1000 ha","14924","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2000","2000","1000 ha","1360","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2000","2000","1000 ha","46600","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2001","2001","1000 ha","15861","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2001","2001","1000 ha","1362","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2001","2001","1000 ha","46600","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2002","2002","1000 ha","16029","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2002","2002","1000 ha","1415","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2002","2002","1000 ha","46600","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2003","2003","1000 ha","16197","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2003","2003","1000 ha","1468","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2003","2003","1000 ha","46600","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2004","2004","1000 ha","16365","A","Official figure"
